PK,TimeStamp,Level,Parent,IsBusiness,Tag,Application,Message,Ticks,DataIn,DataInType,DataOut,DataOutType,TerminalID,TerminalIP,FKUser,ItemID,ItemType,FKExtern,
0,12-01-21 07:37:12,Log,0,True,"","","App.OnResume()",0,"","","","","","","","","",-1,
0,12-01-21 07:37:51,Log,0,True,"DATA","","SelectedStore PK=1720 (Magasin_CE)",0,"","","","","","","","","",-1,
0,12-01-21 07:37:52,Log,0,True,"DATA","","SelectedIntervention PK=1444 (1444 Inconnu 1720)",0,"","","","","","","","","",-1,
0,12-01-21 07:37:52,Log,0,True,"","","ctor StoreCheck.Pages.StorePage",0,"","","","","","","","","",-1,
0,12-01-21 07:37:55,Log,0,True,"","","ctor StoreCheck.Pages.ContactPage",0,"","","","","","","","","",-1,
0,12-01-21 07:39:02,Log,0,True,"MENU","","interventions",0,"","","","","","","","","",-1,
0,12-01-21 07:39:02,Log,0,True,"","","ctor StoreCheck.Pages.StoreListPage",0,"","","","","","","","","",-1,
0,12-01-21 07:39:19,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
0,12-01-21 07:47:29,Log,0,True,"","","App.OnResume()",0,"","","","","","","","","",-1,
0,12-01-21 07:47:30,Log,0,True,"","","ctor StoreCheck.Pages.StorePage",0,"","","","","","","","","",-1,
0,12-01-21 07:47:33,Log,0,True,"","","ctor StoreCheck.Pages.ContactPage",0,"","","","","","","","","",-1,
0,12-01-21 07:49:21,Log,0,True,"DATA","","SelectedStore PK=1795 (Magasin_CE)",0,"","","","","","","","","",-1,
0,12-01-21 07:49:21,Log,0,True,"DATA","","SelectedIntervention PK=1522 (1522 Inconnu 1795)",0,"","","","","","","","","",-1,
0,12-01-21 07:49:22,Log,0,True,"","","ctor StoreCheck.Pages.StorePage",0,"","","","","","","","","",-1,
0,12-01-21 07:49:54,Log,0,True,"","","ctor StoreCheck.Pages.ContactPage",0,"","","","","","","","","",-1,
0,12-01-21 07:51:48,Log,0,True,"","","App.OnSleep()",0,"","","","","","","","","",-1,
0,12-01-21 08:16:52,Log,0,True,"","","App.OnResume()",0,"","","","","","","","","",-1,
0,12-01-21 08:16:55,Log,0,True,"","","ctor StoreCheck.Pages.StorePage",0,"","","","","","","","","",-1,
0,12-01-21 08:16:58,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
